"","x","y"
"1",127087.683783132,476511.769733597
"2",128235.110980514,473682.661446219
"3",123654.055853139,468805.812474085
"4",129052.516231975,470346.762222668
"5",128994.434539397,470188.444603838
"6",140147.277588758,485147.205112758
"7",141028.611128121,486089.865929827
"8",141360.298745544,486245.159463235
"9",142427.49214303,488747.635124883
"10",140714.988815725,484867.003133888
"11",139818.182864684,484096.441124688
"12",117432.643080117,471666.113222507
"13",104213.662608683,498153.993306015
"14",109930.703787285,478751.578185408
"15",112619.596172417,485883.500290741
"16",123447.055488267,482204.036853937
"17",102700.341385356,474175.41413428
"18",110501.438260149,476833.303244915
"19",123451.339757404,482843.959322416
"20",117516.247343052,493043.10177604
"21",113217.638790819,474647.127432
"22",103386.486079639,483071.121196542
"23",131023.302966395,497888.828831404
"24",114331.587060385,489612.143951512
"25",108362.289343443,502223.870928836
"26",118529.541141092,490045.490442415
"27",107658.173234651,477595.822399579
"28",120117.591173705,490052.126373018
"29",117792.151640952,490346.844523567
"30",105365.080419377,502140.737578962
"31",109622.829879814,478464.015819345
"32",106438.409998584,484878.815975688
"33",140344.141760868,475621.497180685
"34",133314.203626469,500373.65892487
"35",115906.554244325,472906.148802182
"36",100729.218438154,497591.277113523
"37",118015.845120454,494594.292636184
"38",114646.449343121,484056.096280798
"39",128446.317614032,493852.858672241
"40",114173.892263218,482731.610100953
"41",115267.829496118,473291.870584667
"42",113935.640894121,486024.248380247
"43",112553.728407453,489827.112472843
"44",120825.914154694,491363.774128213
"45",113924.678775313,475971.087582647
"46",115157.380936204,475002.932179069
"47",108323.284373489,476964.792057724
"48",120604.077038746,491229.539965609
"49",119512.204042922,488153.956855428
"50",119091.933537154,488448.019891133
"51",127047.773123477,486205.546908806
"52",124354.291828059,488813.644883332
"53",124496.159448887,479380.743814119
"54",108909.146117727,479005.565753185
"55",123536.592779772,488606.474021427
"56",138444.351126558,469483.890296895
"57",112519.208087074,484596.376393947
"58",121575.597018533,478548.013226223
"59",117548.877046994,477554.341846472
"60",118032.737338037,483974.984299175
"61",116364.668287352,474672.234193152
"62",114653.39417913,483261.652906023
"63",115905.107208913,494234.530785097
"64",120407.708518761,493360.370807008
"65",114928.33086532,500911.286080774
"66",119329.795303564,494065.543190093
"67",111140.791266883,477411.173428124
"68",116544.255293703,497963.481559575
"69",113137.921590589,473097.950482553
"70",125442.675094021,493069.375370394
"71",136791.641464032,474550.201744912
"72",136252.263399402,468993.816657631
"73",114270.686054606,474343.3324347
"74",107022.80100633,478442.861618127
"75",116411.797967296,494252.722424328
"76",125477.39043989,496827.813704003
"77",107728.701290095,480880.402830725
"78",134132.399918389,501710.726740226
"79",140924.607992739,471234.628214462
"80",99321.3159147821,474282.028571981
"81",113313.386259363,501741.47372843
"82",111999.343883503,484403.654361347
"83",141487.681283209,470467.877747746
"84",112811.613555369,484679.899221869
"85",136803.453368124,475487.853626372
"86",140161.304624905,472431.271120614
"87",125020.222921789,483277.438122896
"88",112618.668358459,500073.540005055
"89",134043.044076655,473816.55564511
"90",106237.577440601,499283.168476947
"91",129423.629685902,483622.566838713
"92",131488.517878024,503158.893556514
"93",141526.510900827,470237.820314385
"94",115908.660843936,495422.407727273
"95",114954.442638653,481837.975944581
"96",138160.757142983,467512.280585083
"97",131728.787634597,476037.225762135
"98",106504.866131806,498135.764169643
"99",110736.061783081,477321.249298033
"100",119534.684640223,490019.290088888
"101",110903.471553508,478831.01138918
"102",112521.245251783,477252.532653036
"103",112079.344472427,478290.933147281
"104",120088.667329548,493864.138665551
"105",104096.237666222,475469.242719389
"106",127505.286378831,482717.005795681
"107",113741.548890262,471566.087953833
"108",116173.734899526,495609.639775515
"109",126475.165218304,482668.57969357
"110",116454.135288301,477803.84781145
"111",112954.042249338,482993.985453954
"112",122181.688193868,490108.056947268
"113",121917.655236987,489519.123708139
"114",123746.666152216,483452.502534959
"115",122994.720508884,483237.504512254
"116",119918.123873147,491751.45960074
"117",121316.970889221,490552.702185769
"118",121544.759759683,490720.031258548
"119",117014.612825771,489444.25502868
"120",105136.281444722,502088.544971043
"121",105950.470247712,506120.591036196
"122",118004.706555286,506948.315000927
"123",118314.528996843,507054.973913548
"124",106786.632677233,505685.482190475
"125",105873.41679716,508217.716990535
"126",142342.647671766,486080.664984382
"127",141511.961128832,484848.383788162
"128",140570.896295636,486287.813260616
"129",98460.961649507,478076.624832763
"130",98056.4469998755,479362.282266363
"131",98621.1300873505,478717.312811829
"132",102716.132901692,468813.29317135
"133",100298.627262813,478270.87028761
"134",98971.835573516,476111.107772536
"135",110501.318956863,467459.346022761
"136",100415.196497987,479516.579268356
"137",98973.1085299455,474291.607941603
"138",106723.74295362,470972.439743486
"139",140736.816994421,484411.291487574
