,nHubs,resEnergy,type
0,2,7.94088226610251,ssaa_old
1,3,7.42040438226154,ssaa_old
2,4,7.17386881655415,ssaa_old
3,5,7.11290151630814,ssaa_old
4,6,6.9401427592882,ssaa_old
5,7,6.8359171211146,ssaa_old
6,8,6.76363881589377,ssaa_old
7,9,6.66252768737113,ssaa_old
8,10,6.58206191739031,ssaa_old
9,11,6.54374119200457,ssaa_old
10,12,6.50084145558212,ssaa_old
11,13,6.43940570114224,ssaa_old
12,14,6.41284433270476,ssaa_old
13,15,6.38389888182472,ssaa_old
14,16,7.15702902766827,ssaa_old
15,17,6.33259588072856,ssaa_old
16,18,6.31308991521301,ssaa_old
17,19,6.29938527295793,ssaa_old
18,20,6.29035396973701,ssaa_old
19,21,6.27394979989054,ssaa_old
20,22,6.2537486805828,ssaa_old
21,23,6.24867240841396,ssaa_old
22,24,6.24200127497336,ssaa_old
23,25,6.23433362151265,ssaa_old
24,26,6.22400998289613,ssaa_old
25,27,6.65735201538311,ssaa_old
26,28,6.2094814225828,ssaa_old
27,29,6.203435503029,ssaa_old
28,30,7.00766921627262,ssaa_old
29,31,6.19319378656596,ssaa_old
30,32,6.18926365279958,ssaa_old
31,33,6.18827017925866,ssaa_old
32,34,6.17831314122926,ssaa_old
33,35,6.17757176380821,ssaa_old
34,36,6.17288529681327,ssaa_old
35,37,6.16839204498823,ssaa_old
36,38,6.16460390693461,ssaa_old
37,39,6.16148674846995,ssaa_old
38,40,6.16057745798444,ssaa_old
39,41,6.16510472006234,ssaa_old
40,42,6.15515270304916,ssaa_old
41,43,6.15270066627805,ssaa_old
42,44,6.15024074469224,ssaa_old
43,45,6.14869631830522,ssaa_old
44,46,6.14649736755296,ssaa_old
45,47,6.14486158010575,ssaa_old
46,48,6.14306092132536,ssaa_old
47,49,6.14124427202966,ssaa_old
48,50,6.14653198247998,ssaa_old
0,51,6.13733390194268,ssaa_old
1,52,6.13650560824803,ssaa_old
2,53,6.13554756345902,ssaa_old
3,54,6.13395307757477,ssaa_old
4,55,6.13217939658212,ssaa_old
5,56,6.1320246211178,ssaa_old
6,57,6.1304534192401,ssaa_old
7,58,6.12823276505113,ssaa_old
8,59,6.12730943742358,ssaa_old
9,60,6.12673130986809,ssaa_old
10,61,6.12549435091736,ssaa_old
11,62,6.12492610370054,ssaa_old
12,63,6.12334322472901,ssaa_old
13,64,6.12203824311237,ssaa_old
14,65,6.12149058340399,ssaa_old
15,66,6.12006219037297,ssaa_old
16,67,6.11956800816783,ssaa_old
17,68,6.11967317912675,ssaa_old
18,69,6.11835699371175,ssaa_old
19,70,6.12270439782407,ssaa_old
20,71,6.11658491359154,ssaa_old
21,72,6.1204795724392,ssaa_old
22,73,6.11602277352307,ssaa_old
23,74,6.11497764989958,ssaa_old
24,75,6.11432191268725,ssaa_old
25,76,6.11542648959633,ssaa_old
26,77,6.11379084274385,ssaa_old
27,78,6.11353694417684,ssaa_old
28,79,6.1131892702503,ssaa_old
29,80,6.11284704994199,ssaa_old
0,81,6.11268601247189,ssaa_old
1,82,6.11239374121657,ssaa_old
2,83,6.1123770698467,ssaa_old
3,84,6.1121570855726,ssaa_old
4,85,6.11193603243155,ssaa_old
5,86,6.11183137610409,ssaa_old
6,87,6.11164401389453,ssaa_old
7,88,6.11293353488238,ssaa_old
8,89,6.11221329306574,ssaa_old
9,90,6.11132812760826,ssaa_old
10,91,6.11156384667017,ssaa_old
11,92,6.1112221360235,ssaa_old
12,93,6.11106367496523,ssaa_old
13,94,6.11095885662479,ssaa_old
14,95,6.11135067405731,ssaa_old
15,96,6.11138946133925,ssaa_old
16,97,6.11102879539972,ssaa_old
17,98,6.11087282644553,ssaa_old
18,99,6.11132018129449,ssaa_old
19,100,6.11111369958445,ssaa_old
20,101,6.11077856373639,ssaa_old
21,102,6.11099000217548,ssaa_old
22,103,6.11095584639378,ssaa_old
23,104,6.1107259904004,ssaa_old
24,105,6.11078778265052,ssaa_old
25,106,6.11084359054897,ssaa_old
26,107,6.11082278021562,ssaa_old
27,108,6.1107390760034,ssaa_old
28,109,6.11071954710351,ssaa_old
29,110,6.11071954710351,ssaa_old
0,111,6.11457476489047,ssaa_old
1,112,6.16123768171854,ssaa_old
2,113,6.11101468743278,ssaa_old
3,114,6.11081896318539,ssaa_old
4,115,6.1107157300786,ssaa_old
5,116,6.11456151872151,ssaa_old
6,117,6.11082278021562,ssaa_old
7,118,6.11486248686705,ssaa_old
8,119,6.11081896318539,ssaa_old
9,120,6.1107157300786,ssaa_old
10,121,6.11091140019495,ssaa_old
11,122,6.11101468743278,ssaa_old
12,123,6.1107157300786,ssaa_old
13,124,6.1107157300786,ssaa_old
14,125,6.1107157300786,ssaa_old
15,126,6.11071954710351,ssaa_old
16,127,6.11456151872151,ssaa_old
17,128,6.1107157300786,ssaa_old
18,129,6.1107157300786,ssaa_old
19,130,6.1107157300786,ssaa_old
20,131,6.11101468743278,ssaa_old
21,133,6.11101468743278,ssaa_old
