,nHubs,resEnergy,type,storageCost,transCost,co2Reduction,transEmissions,costEff
0,2,9.57813382004824,ssaa,3170662.9649650403,1910808.2356406143,527812.5786916793,784.7293372634304,9.641750823661816
1,3,7.99654017520128,ssaa,3020028.5821261173,1307265.696427671,527812.5786916794,536.8668964196984,8.20689097136731
2,4,7.34263200350146,ssaa,2914091.1397230877,958551.9111845556,527812.5786916793,393.6573756026513,7.342632003501461
3,5,7.13119270141944,ssaa,2857258.9929054864,904026.6535739463,527812.5786916794,371.265020439034,7.131192701419443
4,6,6.96372758670092,ssaa,2871458.616307788,809605.8929040605,527812.5786916793,332.4883399064613,6.978584740055254
5,7,6.86466819174406,ssaa,2856024.951673871,765076.382427743,527812.5786916793,314.201063375209,6.864668191744058
6,8,7.19162621331268,ssaa,2974404.2856826163,819007.5912182543,527812.5786916794,336.3494796065701,7.19162621331268
7,9,6.68645176018273,ssaa,2857504.336696917,669849.6106077533,527812.5786916793,275.09336803226705,6.68645176018273
8,10,6.70153192095734,ssaa,2872380.3641175106,667020.822878449,527812.5786916794,273.9316733953363,6.709273731888854
9,11,7.30539033315832,ssaa,3314369.2832987155,728294.9089949753,491571.1302245277,299.0956957502428,8.228972764898716
10,12,6.52516291958325,ssaa,2721815.1467412175,537414.1716711356,499706.97954803845,220.70486349564055,6.525162919583252
11,13,6.4638135544269,ssaa,2723393.883261714,502759.9078141637,499316.4433013232,206.47301661892283,6.463813554426898
12,14,6.45367821433256,ssaa,2724110.2973663704,499513.8428318359,499706.97954803845,205.1399553756719,6.453678214332564
13,15,6.4045134803166,ssaa,2721510.9828898115,477612.8860922858,499706.97954803845,196.1456940432144,6.404513480316598
14,16,7.23158527903182,ssaa,3050258.057116114,668047.6459072446,461445.8049563344,274.35338688511075,8.062740419792458
15,17,6.35684805209825,ssaa,2729606.9708611574,445790.5765988146,499706.9795480384,183.07691018253513,6.356848052098255
16,18,6.39092564253635,ssaa,2688624.378022946,446164.4438962814,490689.4571416858,183.2304607052514,6.390925642536352
17,19,6.35605253796962,ssaa,2736265.009984524,436277.7213283448,499316.4433013233,179.17022800988596,6.356052537969619
18,20,6.34624803087778,ssaa,2735549.6628165036,432110.1356324199,499316.4433013232,177.45865454917814,6.346248030877779
19,21,6.35251671980248,ssaa,2763403.882810487,408951.2373385015,499553.5078948604,167.94779709394837,6.352516719802481
20,22,6.3008740789358,ssaa,2743864.6906344974,401227.1135259125,499316.44330132316,164.7756502206112,6.300874078935801
21,23,6.30141426991853,ssaa,2740484.088619951,404867.93085500447,499316.4433013232,166.27085668226124,6.3014142699185305
22,24,6.31168718131442,ssaa,2754263.5906537804,398697.0922484239,499706.97954803845,163.73661983030416,6.311687181314415
23,25,6.3219861321753,ssaa,2715343.1352980663,402960.39013548417,493412.93536325404,165.48745077545445,6.321986132175304
24,26,6.3143671933734,ssaa,2731466.1607981483,405700.6487691551,496996.5743279848,166.61283008554585,6.314367193373398
25,27,6.32715284837858,ssaa,2782194.24988347,402163.6439551614,503449.6501727619,165.16026911344613,6.327152848378583
26,28,6.33208207225807,ssaa,2770876.755761186,389822.22811639495,499316.44330132316,160.0919133428076,6.332082072258072
27,29,6.33938283968791,ssaa,2736211.817053884,413363.5651479127,496996.5743279848,169.7598179382288,6.339382839687907
28,30,6.29945108086222,ssaa,2772085.640047554,372370.52575263125,499316.4433013232,152.92485555481318,6.299451080862221
29,31,6.33751174160645,ssaa,2772678.8165461845,390728.06380890595,499316.4433013232,160.46389903163626,6.33751174160645
30,32,6.30116633790185,ssaa,2769405.96280923,375897.2703512666,499316.4433013232,154.37321894337362,6.301166337901852
31,33,6.32484182021768,ssaa,2786130.787251105,373466.7419641885,499706.97954803833,153.37504278763583,6.3248418202176815
32,34,6.32244785998415,ssaa,2790362.721617547,365590.2025084218,499316.4433013232,150.14030964020031,6.3224478599841545
33,35,6.34382247107497,ssaa,2602173.5720285214,341615.6849374468,464180.5904637754,140.29450840340118,6.3438224710749695
34,36,6.34265183805105,ssaa,2804159.8708743323,360968.4441102609,499171.11088919436,148.24225304312014,6.342651838051052
35,37,6.3969718661368,ssaa,2796663.280527311,356413.5051512953,493047.833697626,146.37162151031077,6.396971866136798
36,38,6.37855175601405,ssaa,2788498.633176625,359405.33162294386,493661.5020850424,147.60030764434754,6.378551756014051
37,39,6.45507271316741,ssaa,2798697.58077095,328718.357336611,484624.6507058636,134.99782742444438,6.4550727131674055
38,40,6.46432314707193,ssaa,2873106.179098025,328079.5509035782,495342.92002155725,134.73547224243265,6.464323147071928
39,41,6.44626521740933,ssaa,2822505.635288216,353209.770440042,492789.29232571425,145.05591551329005,6.446265217409332
40,42,6.48804181973906,ssaa,2893977.8643258433,344689.67409106536,499316.44330132316,141.55688741864347,6.488041819739062
41,43,6.55229690015245,ssaa,2879146.239041827,349115.7756385954,492835.03126986185,143.37460740032418,6.552296900152451
42,44,6.54527374931071,ssaa,2880516.6828063033,343999.46304787736,492789.2923257142,141.27341072844496,6.545273749310707
43,45,6.59308750416235,ssaa,2731599.728198727,301768.6535730936,460207.06718400953,123.93013224194861,6.593087504162345
44,46,6.62715104216412,ssaa,2924199.2095092186,346427.2805960369,493661.5020850424,142.27047307926452,6.627151042164116
45,47,6.65961700442607,ssaa,2709666.957678143,307097.8261055385,453119.8542061168,126.11871371535767,6.659617004426069
46,48,6.68835009058469,ssaa,2963781.7882226342,337090.32074323815,493661.5020850424,138.43596805290224,6.68838466849572
47,49,6.70170590254649,ssaa,2963793.7149992133,311249.1736890279,488815.7690459484,127.82357167718305,6.701705902546491
48,50,6.75340528154552,ssaa,2774169.320815096,316086.85384098627,457714.69463526213,129.81029542057516,6.753405281545521
49,51,6.85176460764388,ssaa,3049099.6051656813,355204.4313774094,496996.5743279848,145.8750577235967,6.851764607643884
50,52,6.8471323271962,ssaa,2818116.626900934,315623.8711928683,457714.69463526213,129.6201576907619,6.848432505521776
51,53,6.86976172781923,ssaa,2831490.3188203876,287395.41561204894,454120.0521617646,118.02734590413166,6.869761727819235
52,54,6.90504957565338,ssaa,2845258.9592613433,287044.4943528372,453741.1713554963,117.88321258196794,6.9050763827348876
53,55,6.98108561906441,ssaa,3095495.117214712,314754.6389270033,488627.7492675912,129.26318273677123,6.981085619064414
54,56,7.01878103247702,ssaa,3139517.6715087444,296639.9709339036,489687.97880527657,121.82386426904712,7.018781032477017
55,57,7.05322568592254,ssaa,3149000.3791598906,297864.7597768438,488815.7690459484,122.32686440902671,7.053225685922538
56,58,7.09716471841736,ssaa,3170432.0190030416,297905.7175880341,488815.7690459484,122.34368544755995,7.097164718417363
57,59,7.18029593698248,ssaa,3208808.6101556625,328608.8872952338,492789.29232571425,134.95281988663268,7.180323431230128
58,60,7.18949419172809,ssaa,3223520.679779256,296213.6064331561,489687.97880527657,121.6487758205545,7.189494191728092
59,61,7.23862517826391,ssaa,3253269.113438607,290534.93091000814,489687.9788052765,119.31665242420125,7.238625178263912
60,62,7.28563582717372,ssaa,3272696.2342246436,294112.0476272775,489687.9788052765,120.78570614327496,7.285635827173723
61,63,7.33077533956268,ssaa,3291641.5791193238,290881.2798592572,488815.76904594834,119.4588965368975,7.330775339562681
62,64,7.38104737185343,ssaa,3321343.8525908114,292180.6459423844,489687.9788052765,119.99251746926191,7.38104737185343
63,65,7.43106656608955,ssaa,3342873.5529903583,288668.0128227465,488815.76904594834,118.54994350530366,7.431066566089552
64,66,7.4808109683481,ssaa,3374283.377197769,288094.7371903959,489687.9788052765,118.31451567298637,7.480810968348104
65,67,7.53053186384617,ssaa,3396994.618883489,289720.3102106199,489687.9788052765,118.98211941079899,7.530531863846165
66,68,7.5762062048424,ssaa,3424792.92541504,284299.61103042355,489687.9788052765,116.75593191220973,7.576206204842399
67,69,7.66368992112734,ssaa,3208050.5728625422,268436.2145748954,453741.17135549634,110.24118784653277,7.663689921127339
68,70,7.67726335149211,ssaa,3470001.8342139954,281876.82791402354,488815.76904594834,115.76093709223764,7.677263351492113
69,71,7.72569172581311,ssaa,3493869.9132948453,281676.33186958166,488815.76904594834,115.67859973503302,7.725691725813107
70,72,7.82898451034178,ssaa,3306683.981818402,271455.73329679156,457149.00765160564,111.4812152444945,7.8289845103417814
71,73,7.86112300087242,ssaa,3557698.0764605156,310680.1406482168,492217.3608315,127.58985610321774,7.8611230008724196
72,74,7.87890289023508,ssaa,3575485.6569738104,281808.5986148827,489687.97880527657,115.73291996507781,7.878907123530677
73,75,7.92811715197362,ssaa,3594004.9605585006,280470.53466280736,488815.7690459484,115.18340225660475,7.928117151973624
74,76,7.97936898073692,ssaa,3620101.4057299607,279424.31665470893,488815.7690459483,114.75374028207976,7.979368980736917
75,77,8.07578780601467,ssaa,3563083.2781405216,271041.0143329423,474871.83429990365,111.31090159425104,8.075912177847087
76,78,8.08085034352268,ssaa,3675249.325133328,280913.69604702434,489687.9788052765,115.36540432768356,8.080850343522677
77,79,8.1332873986598,ssaa,3695429.1372133484,279317.0306259135,488815.76904594834,114.70968165987657,8.1332873986598
78,80,8.18714343166459,ssaa,3723117.9102762,280164.10983036144,489074.31041786016,115.05756483318183,8.187353029414664
79,81,8.24082556796985,ssaa,3746050.1039127843,279203.731373315,488558.43529847666,114.66314955948565,8.240976883740215
80,82,8.34116091920415,ssaa,3691200.9546591286,268860.43875121104,474871.83429990365,110.41538362918823,8.341160919204153
81,83,8.34272098494964,ssaa,3799408.1152720875,277694.0287483595,488815.7690459484,114.04314913571977,8.342720984949642
82,84,8.44962338281747,ssaa,3742848.0656961077,268707.6510014615,474871.8342999036,110.35263964729502,8.449623382817471
83,85,8.53385818878267,ssaa,3639168.9229924567,264845.3800396365,457582.30502262793,108.76648132359799,8.533858188782666
84,86,8.50051014033843,ssaa,3878541.052032506,275679.9556383026,488815.76904594834,113.21601241719087,8.500510140338426
85,87,8.61649070763015,ssaa,3825486.4690998225,265343.07190476486,474871.83429990365,108.9708808056221,8.616574412631339
86,88,8.60710110015762,ssaa,3935954.6653706366,277917.1110699002,489687.9788052765,114.13476849586829,8.607224074094852
87,89,8.72059605224809,ssaa,3871611.7715406897,266355.6509126205,474614.5005524319,109.38672061094258,8.720596052248094
88,90,8.71253302691153,ssaa,3980807.087975789,274791.1969459753,488558.4352984766,112.85101467004692,8.712533026911531
89,91,8.87760030879609,ssaa,3823139.0641995394,255944.2472941513,459585.50767680653,105.11099212347285,8.877600308796087
